# MNE-Annotations
# orig_time : 2013-09-13 23:30:16.087428   
# onset, duration, description
3390.0,60.0,S3
3390.415,0.52,SO
3391.21,0.83,SO
3392.325,0.91,SO
3393.235,0.91,SO
3393.235,0.91,SO
3397.91,1.155,SO
3397.91,1.155,SO
3400.29,1.225,SO
3400.29,1.225,SO
3404.265,0.97,SO
3406.01,0.94,SO
3406.01,0.94,SO
3409.22,1.095,SO
3412.745,0.73,SO
3415.65,0.56,SO
3416.935,1.015,SO
3419.74,1.175,SO
3421.73,1.3,SO
3423.03,1.025,SO
3428.305,1.355,SO
3430.71,0.72,SO
3435.285,0.86,SO
3437.92,0.79,SO
3438.71,0.785,SO
3442.5,1.03,SO
3442.5,1.03,SO
3443.53,1.51,SO
3443.53,1.51,SO
3446.37,0.875,SO
3447.97,0.895,SO
3448.865,1.805,SO
3450.0,120.0,S2
3450.0,120.0,S2
3452.335,1.73,SO
3461.14,3.255,SO
3461.14,3.255,SO
3461.14,3.255,SO
3473.8,1.08,SO
3473.8,1.08,SO
3478.255,1.06,SO
3486.34,1.085,SO
3508.865,1.455,SO
3512.12,2.815,SO
3512.12,2.815,SO
3512.12,2.815,SO
3525.535,0.715,SO
3545.21,1.395,SO
3559.02,0.935,SO
3560.345,0.915,SO
3570.0,150.0,S3
3570.0,150.0,S3
3571.295,0.91,SO
3572.515,1.21,SO
3572.515,1.21,SO
3572.515,1.21,SO
3574.815,0.805,SO
3576.935,1.315,SO
3576.935,1.315,SO
3576.935,1.315,SO
3579.805,0.87,SO
3593.115,0.645,SO
3609.56,1.025,SO
3613.085,1.09,SO
3619.585,0.975,SO
3623.625,1.03,SO
3623.625,1.03,SO
3624.885,1.465,SO
3624.885,1.465,SO
3626.35,0.81,SO
3626.35,0.81,SO
3630.7,0.635,SO
3632.41,1.175,SO
3635.45,0.66,SO
3638.9,1.31,SO
3638.9,1.31,SO
3640.21,1.435,SO
3653.875,1.715,SO
3653.875,1.715,SO
3653.875,1.715,SO
3657.175,1.1,SO
3683.585,1.14,SO
3686.3,1.18,SO
3689.995,0.945,SO
3693.145,2.22,SO
3693.145,2.22,SO
3693.145,2.22,SO
3702.635,1.37,SO
3708.34,1.165,SO
3710.315,1.5,SO
3712.57,1.11,SO
3712.57,1.11,SO
3714.625,0.845,SO
3720.0,30.0,S4
3720.0,30.0,S4
3721.54,0.985,SO
3725.97,0.94,SO
3727.455,1.45,SO
3727.455,1.45,SO
3731.36,0.6,SO
3731.36,0.6,SO
3733.25,0.93,SO
3734.18,1.135,SO
3735.315,2.31,SO
3735.315,2.31,SO
3735.315,2.31,SO
3737.625,1.03,SO
3738.96,0.8,SO
